log_file,step,wall_time,episode_reward
experiments/ppo_pilot/logs/PPO_2/events.out.tfevents.1788073353.a8077c1affad.2207.0,2560,1788073365.219041,-46.163665771484375
experiments/ppo_pilot/logs/PPO_2/events.out.tfevents.1788073353.a8077c1affad.2207.0,2816,1788073366.6335099,-45.812599182128906
experiments/ppo_pilot/logs/PPO_2/events.out.tfevents.1788073353.a8077c1affad.2207.0,3072,1788073367.3663037,-45.78310012817383
experiments/ppo_pilot/logs/PPO_2/events.out.tfevents.1788073353.a8077c1affad.2207.0,3328,1788073367.7957075,-46.02980041503906
experiments/ppo_pilot/logs/PPO_2/events.out.tfevents.1788073353.a8077c1affad.2207.0,3584,1788073368.1947675,-45.62614059448242
experiments/ppo_pilot/logs/PPO_2/events.out.tfevents.1788073353.a8077c1affad.2207.0,3840,1788073368.6391141,-44.988277435302734
experiments/ppo_pilot/logs/PPO_2/events.out.tfevents.1788073353.a8077c1affad.2207.0,4096,1788073369.0487952,-43.08815383911133
experiments/ppo_pilot/logs/PPO_2/events.out.tfevents.1788073353.a8077c1affad.2207.0,4352,1788073369.4861941,-43.05738830566406
experiments/ppo_pilot/logs/PPO_2/events.out.tfevents.1788073353.a8077c1affad.2207.0,4608,1788073369.901855,-43.58730697631836
experiments/ppo_pilot/logs/PPO_2/events.out.tfevents.1788073353.a8077c1affad.2207.0,4864,1788073370.3107111,-43.17707824707031
experiments/ppo_pilot/logs/PPO_2/events.out.tfevents.1788073353.a8077c1affad.2207.0,5120,1788073370.7487743,-42.5480842590332
experiments/ppo_pilot/logs/PPO_2/events.out.tfevents.1788074794.a8077c1affad.2207.1,5376,1788074794.883923,-41.95002365112305
experiments/ppo_pilot/logs/PPO_2/events.out.tfevents.1788074794.a8077c1affad.2207.1,5632,1788074795.7739387,-41.21846389770508
experiments/ppo_pilot/logs/PPO_2/events.out.tfevents.1788074794.a8077c1affad.2207.1,5888,1788074796.2574492,-40.182865142822266
experiments/ppo_pilot/logs/PPO_2/events.out.tfevents.1788074794.a8077c1affad.2207.1,6144,1788074796.6651473,-40.1068115234375
experiments/ppo_pilot/logs/PPO_2/events.out.tfevents.1788074794.a8077c1affad.2207.1,6400,1788074797.0759368,-39.84518051147461
